Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes,gap_between_netflix_release_and_release,Country Count,Language Count,is_hidden_gem,year_added
The Crimes That Bind,,"Social Issue Dramas,Dramas,Crime Movies,Argentinian Movies,Crime Dramas,Latin American Films,Argentinian Dramas,International Dramas",Spanish,Movie,6.7,,1-2 hour,Sebastián Schindel,"Sebastián Schindel, Pablo Del Teso","Cecilia Roth, Miguel Ángel Solá, Benjamín Amadeo, Sofía Gala Castiglione",TV-14,6.6,,,,,,2020-08-20,2020-08-20,3122.0,0.0,36,1,False,2020
John Was Trying to Contact Aliens,,"Biographical Documentaries,Social & Cultural Docs,LGBTQ Movies,Documentary Films,US Movies,LGBTQ Documentaries",English,Movie,7.6,,< 30 minutes,Matthew Killip,,"John Litrenta, John Shepherd",,6.3,,,2.0,2.0,,2020-08-20,2020-08-20,1182.0,0.0,36,1,False,2020
Bloodshot,,"Action & Adventure,Sci-Fi & Fantasy,Action Sci-Fi & Fantasy,Comic Book and Superhero Films,US Movies","English, Persian",Movie,2.5,,1-2 hour,Dave Wilson,"Kevin VanHook, Jeff Wadlow, Eric Heisserer, Don Perlin, Bob Layton","Toby Kebbell, Sam Heughan, Eiza González, Vin Diesel",PG-13,5.7,,44.0,1.0,4.0,,2020-03-13,2020-08-20,61517.0,160.0,8,2,False,2020
Neighbors,,"Social Issue Dramas,Dramas,Polish Comedies,Polish Movies,Comedies,Movies Based on Books,Polish Dramas",English,Movie,3.4,,1-2 hour,Nicholas Stoller,"Brendan O'Brien, Andrew Jay Cohen","Rose Byrne, Zoey Vargas, Seth Rogen, Elise Vargas",R,6.3,73.0,68.0,8.0,11.0,,2014-05-09,2020-08-20,287502.0,2295.0,1,1,False,2020
Apartament,,"Biographical Documentaries,Polish Movies,Documentary Films",Polish,Movie,,,1-2 hour,"Maciej Czajkowski, Przemyslaw Hauser","Piotr Krasko, Marek Zajac, Przemyslaw Reichel","Piotr Krasko, Loris Chevrere, Arturo Mari, Stanislaw Dziwisz",,,,,,,,2015-05-15,2020-08-20,,1924.0,1,1,False,2020
Geisha,,"Dramas,Crime Movies,Polish Thrillers,Polish Movies,Crime Dramas,Thriller Movies,Crime Thrillers,Polish Dramas,Gangster Movies",English,Movie,8.7,,1-2 hour,Lisa Loves,,"Natalia Forrest, Keni Styles, Aletta Ocean, Wayne Scott-Fox",,7.4,,,,,,2010-07-20,2020-08-20,29.0,3684.0,1,1,True,2020
Goedam,,"Korean Movies,Horror Movies,Supernatural Horror Movies,Korean TV Shows,TV Horror,Chilling Horror Movies,K-dramas,TV Mysteries",Korean,Series,7.6,,< 30 minutes,,,Ga-rim Han,TV-MA,5.7,,,,,,2020-08-20,2020-08-20,553.0,0.0,36,1,False,2020
Scarecrow,,"Crime Comedies,Crime Movies,Middle Eastern Movies,Comedies,Heist Movies,Egyptian Movies,International Comedies",English,Movie,3.7,,> 2 hrs,Jerry Schatzberg,Garry Michael White,"Ann Wedgeworth, Gene Hackman, Dorothy Tristan, Al Pacino",R,7.3,75.0,72.0,4.0,,,1973-04-11,2020-08-20,15560.0,17298.0,34,1,False,2020
Miss Hanoi,,"Czech Movies,Social Issue Dramas,Dramas,Crime Movies,Crime Dramas,Thriller Movies,Mysteries,Crime Thrillers","Czech, Vietnamese",Movie,7.7,,1-2 hour,Zdenek Viktora,"Adela Kabelková, Zdenek Viktora, Marek Grajciar","Ha Thanh Spetlíková, David Novotný, Ján Jackuliak, Miroslav Hruska",,5.6,,,,,,,2020-08-20,156.0,,1,2,False,2020
Vice,,"Movies Based on Real Life,Political Comedies,Social Issue Dramas,Dramas,Comedies,Political Dramas,Dark Comedies","English, Arabic",Movie,3.3,,> 2 hrs,Adam McKay,Adam McKay,"Amy Adams, Christian Bale, Steve Carell, Sam Rockwell",R,7.2,65.0,61.0,35.0,133.0,,2018-12-25,2020-08-19,122744.0,603.0,3,2,False,2020
Home Care,,"Czech Movies,Dramas,Comedies","Czech, Slovak",Movie,8.3,,1-2 hour,Slávek Horák,Slávek Horák,"Tatiana Vilhelmová, Bolek Polívka, Alena Mihulová, Zuzana Krónerová",,7.0,,,6.0,14.0,,2015-07-16,2020-08-19,429.0,1861.0,2,2,False,2020
Gretel & Hansel,,"Sci-Fi & Fantasy,Horror Movies,Fantasy Movies,Movies Based on Books,Supernatural Horror Movies,Teen Screams",English,Movie,,,1-2 hour,Taylor Trikilis,Kat Rush,"Stephanie Jones, Lloyd Johnson, Derrel Maury",,,,,1.0,,,,2020-08-19,,,4,1,False,2020
A Resistance,,"Movies Based on Real Life,Social Issue Dramas,Korean Movies,Dramas,Independent Movies,Period Pieces",,Movie,,,1-2 hour,,,,,,,,,,,2019-02-27,2020-08-19,,539.0,1,0,False,2020
The Secret Mission,,"Social Issue Dramas,Korean Movies,Dramas","Korean, Japanese",Movie,8.0,,> 2 hrs,Yu-na Eom,Yu-na Eom,"Hae-Jin Yoo, Hyeon Woo, Hong-pa Kim, Yoon Kyung-Ho",,6.4,,,,,,2019-01-11,2020-08-19,301.0,586.0,1,2,False,2020
Tazza: One Eyed Jack,,"Korean Movies,Thriller Movies,Crime Thrillers",Korean,Movie,8.2,,> 2 hrs,Oh-Kwang Kwon,"Oh-Kwang Kwon, Yeong-man Heo","Jung-min Park, Seung-bum Ryoo, Je-Moon Yoon, Yu-hwa Choi",,5.8,78.0,,,1.0,,2019-09-20,2020-08-19,339.0,334.0,1,1,False,2020
Forbidden Dream,,"Movies Based on Real Life,Social Issue Dramas,Korean Movies,Dramas,Period Pieces","Korean, Mandarin",Movie,8.2,,> 2 hrs,Jin-ho Hur,"Bum-Sik Jung, Ji-min Lee","Choi Min-sik, Suk-kyu Han, Sung-Hoon Park",,6.6,,,,16.0,,2019-12-26,2020-08-19,189.0,237.0,1,2,False,2020
