Title,Genre,Tags,Languages,Series or Movie,Hidden Gem Score,Country Availability,Runtime,Director,Writer,Actors,View Rating,IMDb Score,Rotten Tomatoes Score,Metacritic Score,Awards Received,Awards Nominated For,Boxoffice,Release Date,Netflix Release Date,IMDb Votes,gap_between_netflix_release_and_release,Country Count,Language Count,is_hidden_gem,year_added
Im not a robot,,"Korean TV Shows,Romantic TV Shows,TV Comedies,Romantic TV Comedies",Korean,Series,7.4,,< 30 minutes,,,"Seung-eon Hwang, Se-wan Park, Yoo Seung-ho, Chae Soo-bin",TV-14,8.0,,,,,,2017-12-06,2019-02-27,3106.0,448.0,28,1,False,2019
Pasta,,"TV Comedies,Romantic TV Shows,TV Dramas,Korean TV Shows,Romantic TV Comedies",Korean,Series,8.5,,< 30 minutes,,,"Alex Chu, Lee Hanee, Hyo-Jin Kong, Lee Sun-kyun",,7.7,,,1.0,,,2010-01-04,2019-02-27,660.0,3341.0,28,1,False,2019
Warm and Cozy,,"Korean TV Shows,Romantic TV Shows,TV Comedies,Romantic TV Comedies",Korean,Series,8.2,,< 30 minutes,,,"Jinyoung Jung, Seohyun, So Ji-seob, Joon-hee Song",,6.7,,,1.0,1.0,,2015-05-13,2019-02-27,268.0,1386.0,29,1,False,2019
Two Cops,,"TV Dramas,Crime TV Shows,Romantic TV Shows,TV Sci-Fi & Fantasy,Korean TV Shows,Action & Adventure Programmes,Fantasy TV Programmes",,Series,,,< 30 minutes,,John Bowe,,,,,,,,,,2019-02-27,,,1,0,False,2019
Arang and the Magistrate,,"Korean TV Shows,TV Sci-Fi & Fantasy,Romantic TV Shows,TV Dramas,Romantic TV Dramas,Fantasy TV Shows",Korean,Series,8.4,,< 30 minutes,,,"Shin Min-a, Woo-jin Yeon, Lee Joon-Gi, Jeong-su Han",TV-Y,7.5,,,2.0,,,2012-08-15,2019-02-27,668.0,2387.0,1,1,False,2019
Money Flower,,"TV Dramas,Korean TV Shows",Korean,Series,8.2,,< 30 minutes,,,"So-hee Han, Seung-jo Jang",,6.7,,,,1.0,,2017-11-11,2019-02-27,231.0,473.0,1,1,False,2019
Angry Mom,,"TV Dramas,Korean TV Shows",Korean,Series,8.6,,< 30 minutes,,,"Yoo-Jeong Kim, Kim Hee-seon, Hyun-Woo Ji, Ji Soo",,7.6,,,1.0,1.0,,2015-03-18,2019-02-27,398.0,1442.0,1,1,False,2019
Evening Shadows,,"Dramas,Hindi-Language Movies,Indian Movies,LGBTQ Movies,Independent Movies,LGBTQ Dramas,Bollywood Films,International Dramas",Hindi,Movie,8.3,,1-2 hour,Sridhar Rangayan,"Saagar Gupta, Sridhar Rangayan","Ananth Narayan Mahadevan, Devansh Doshi, Arpit Chaudhary, Mona Ambegaonkar",,7.1,,,23.0,1.0,,2019-01-11,2019-02-27,438.0,47.0,18,1,False,2019
Bride For Rent,,"Romantic Movies,Filipino Movies,Comedies,Romantic Comedies,International Comedies,Family Cozy Time","Filipino, Tagalog",Movie,8.0,,1-2 hour,Mae Czarina Cruz,"Carmi Raymundo, Charlene Grace Bernardo","Martin del Rosario, Xian Lim, Kim Chiu, Empoy Marquez",,6.4,65.0,,,,,2014-01-15,2019-02-26,513.0,1868.0,36,2,False,2019
Cant Help Falling in Love,,"Romantic Movies,Filipino Movies,Romantic Comedies,Comedies,Romantic Dramas,Dramas,Quirky Romance,International Comedies,International Dramas","Filipino, Tagalog",Movie,8.5,,1-2 hour,Mae Czarina Cruz,"Carmi Raymundo, Kristine Gabriel","Matteo Guidicelli, Zanjoe Marudo, Kathryn Bernardo, Daniel Padilla",,7.2,83.0,,,2.0,,2017-04-15,2019-02-26,784.0,682.0,36,2,False,2019
Four Sisters and a Wedding,,"Comedies,Filipino Movies,Dramas,International Comedies,International Dramas","Filipino, Tagalog",Movie,8.7,,> 2 hrs,Cathy Garcia-Molina,"Jose Javier Reyes, Vanessa R. Valdez","Bea Basa, Veyda Inoval, Bea Alonzo, Brenna Garcia",Not Rated,7.3,86.0,,,27.0,,2013-06-26,2019-02-26,646.0,2071.0,36,2,False,2019
A Second Chance,,"Romantic Dramas,Romantic Movies,Filipino Movies,Dramas,International Dramas","Filipino, Tagalog",Movie,8.5,,> 2 hrs,Cathy Garcia-Molina,"Vanessa R. Valdez, Carmi Raymundo, Cathy Garcia-Molina","Janus del Prado, Dimples Romana, Bea Alonzo, John Lloyd Cruz",,7.1,75.0,,1.0,24.0,,2015-11-25,2019-02-26,362.0,1189.0,36,2,False,2019
It Takes a Man and a Woman,,"Filipino Movies,Romantic Comedies,Comedies,Romantic Movies,International Comedies","Filipino, Tagalog",Movie,8.4,,> 2 hrs,Cathy Garcia-Molina,"Carmi Raymundo, Raz de la Torre","Isabelle Daza, Rowell Santiago, Sarah Geronimo, John Lloyd Cruz",TV-PG,6.7,74.0,,4.0,10.0,,2013-04-23,2019-02-26,331.0,2135.0,34,2,False,2019
My Ex and Whys,,"Romantic Movies,Romantic Dramas,Filipino Movies,Dramas,International Dramas,Romantic Comedies,Comedies,International Comedies","Filipino, Tagalog",Movie,8.8,,> 2 hrs,Cathy Garcia-Molina,"Jancy E. Nicolas, Gilliann Ebreo, Cathy Garcia-Molina","Ara Mina, Enrique Gil, Liza Soberano, Joey Marquez",,6.2,100.0,,,,,2017-02-17,2019-02-26,495.0,739.0,36,2,False,2019
Beauty and the Bestie,,"Comedies,Action Comedies,Crime Action & Adventure,Crime Movies,LGBTQ Movies,Crime Comedies,Filipino Movies,Action & Adventure,Goofy Comedies,LGBTQ Comedies,Asian Action Movies,International Action & Adventure,International Comedies,Laugh-Out-Loud Comedies","Filipino, Tagalog, Japanese, Korean",Movie,7.3,,1-2 hour,Wenn V. Deramas,"Mel Mendoza-Del Rosario, Enrico C. Santos","Nadine Lustre, Coco Martin, James Reid, Vice Ganda",TV-14,4.8,,,,5.0,,2015-12-25,2019-02-26,272.0,1159.0,36,4,False,2019
Rise: Ini Kalilah,,"Political Dramas,Dramas,International Dramas,Malaysian Films",,Movie,7.4,,1-2 hour,"M.S. Prem Nath, Teong Hin Saw, Nik Amir Mustapha","Nik Amir Mustapha, M.S. Prem Nath, Teong Hin Saw, Fred Chong, Ivy Too","Tony Eusoff, Tom Ashley, Mira Filzah, Azman Hassan",,4.9,,,,1.0,,2018-09-13,2019-02-26,32.0,166.0,19,0,True,2019
Forever Enthralled,,"Romantic Dramas,Romantic Movies,Hong Kong Movies,Dramas,Romantic Favourites",Mandarin,Movie,7.5,,> 2 hrs,Kaige Chen,"Geling Yan, Kuo-Fu Chen, Kaige Chen","Honglei Sun, Leon Lai, Hong Chen, Ziyi Zhang",,6.6,62.0,,26.0,19.0,,2008-12-05,2019-02-25,1430.0,3734.0,3,1,False,2019
Hospital ship,,"Korean TV Shows,TV Dramas",Korean,Series,8.0,,< 30 minutes,,,Ha Ji-Won,,6.2,,,1.0,,,2017-08-30,2019-02-24,277.0,543.0,2,1,False,2019
The Scholar Who Walks the Night,,"TV Dramas,Period Pieces,Korean TV Shows,TV Shows based on Comics,Romantic TV Shows,TV Sci-Fi & Fantasy,Romantic TV Dramas,Fantasy TV Shows,K-dramas based on Webtoon",Korean,Series,8.3,,< 30 minutes,,,"Soo-hyuk Lee, Tae-Hwan Choi, Lee Joon-Gi, Hie-jin Jang",,7.3,,,,3.0,,2015-07-08,2019-02-24,730.0,1327.0,1,1,False,2019
Le Voyage de Ricky,,"Children & Family Movies,Family Adventures",English,Movie,7.1,,1-2 hour,"Reza Memari, Toby Genkel","Joe Vitale, Reza Memari, Jeffrey Hylton, Anne D. Bernstein","Tilman Döbler, Shannon Conley, Christian Gaul, Cooper Kelly Kramer",PG,5.8,61.0,,1.0,2.0,,2017-06-30,2019-02-23,1789.0,603.0,1,1,False,2019
The Emperor Owner of the Mask,,"Political TV Shows,Korean TV Shows,Period Pieces,TV Dramas",Korean,Series,8.5,,< 30 minutes,,,"Yoo Seung-ho, Hyun-soo Shin, Myung-Soo Kim, Kim So-Hyun",,7.4,,,5.0,5.0,,2017-05-10,2019-02-23,424.0,654.0,2,1,False,2019
La tortue rouge,,"Fantasy Movies,Sci-Fi & Fantasy,Dramas,French Movies",French,Movie,,,1-2 hour,Eric Paccoud,,Michael Dudok de Wit,,,,,,,,2016-11-30,2019-02-23,,815.0,1,1,False,2019
The Swimmers,,"Horror Movies,Thai Horror Movies,Sports Movies,Thai Movies",Thai,Movie,6.4,,1-2 hour,Sophon Sakdaphisit,"Jirassaya Wongsutin, Sophon Sakdaphisit, Tossaphon Riantong","Chutavuth Pattarakampol, Thanapob Leeratanakajorn, Supassra Thanachat, Violette Wautier",,5.8,12.0,,,3.0,,2014-08-07,2019-02-23,622.0,1661.0,1,1,False,2019
Coming Soon,,"Thai Horror Movies,Horror Movies,Supernatural Horror Movies,Thai Movies",Thai,Movie,6.3,,1-2 hour,Sophon Sakdaphisit,"Kongkiat Khomsiri, Sophon Sakdaphisit, Chanajai Tonsaithong","Thanatorn Oudsahakul, Vorakarn Rojjanavatchra, Sarinrat Thomas, Chantavit Dhanasevi",,6.1,42.0,,,1.0,,2008-10-30,2019-02-23,2453.0,3768.0,1,1,False,2019
Alone,,"Thai Movies,Horror Movies,Thai Horror Movies","Korean, Thai",Movie,5.5,,1-2 hour,"Banjong Pisanthanakun, Parkpoom Wongpoom","Banjong Pisanthanakun, Parkpoom Wongpoom, Sophon Sakdaphisit, Aummaraporn Phandintong","Rachanu Boonchuduang, Marsha Wattanapanich, Vittaya Wasukraipaisan, Hatairat Egereff",,6.5,57.0,,11.0,5.0,,2007-03-29,2019-02-23,5053.0,4349.0,1,2,False,2019
The King 2 Hearts,,"TV Dramas,Political TV Shows,Romantic TV Shows,Korean TV Shows,Romantic TV Dramas",Korean,Series,8.4,,< 30 minutes,,,"Jason-Patrick Taylor, Jo Jung-Suk, Lee Seung-gi, Ha Ji-Won",,7.8,,,2.0,5.0,,2012-03-21,2019-02-23,1086.0,2530.0,1,1,False,2019
Second Act,,"Romantic Comedies,Comedies,Romantic Movies,US Movies,Romantic Favorites","English, Mandarin",Movie,2.5,,1-2 hour,Peter Segal,"Justin Zackham, Elaine Goldsmith-Thomas","Vanessa Hudgens, Leah Remini, Jennifer Lopez, Treat Williams",PG-13,5.8,44.0,46.0,2.0,1.0,,2018-12-21,2019-02-23,22791.0,64.0,9,2,False,2019
Heart Attack,,"Dramas,Thai Movies,Thai Dramas,Romantic Dramas,Romantic Movies",Thai,Movie,7.7,,> 2 hrs,Nawapol Thamrongrattanarit,Nawapol Thamrongrattanarit,"Sunny Suwanmethanont, Torpong Chantabubpha, Davika Hoorne, Violette Wautier",,7.7,,,9.0,8.0,,2015-09-03,2019-02-23,2310.0,1269.0,1,1,False,2019
Firebrand,,"Dramas,Marathi-Language Movies,Crime Dramas,Indian Movies,Social Issue Dramas,International Dramas",Marathi,Movie,7.5,,1-2 hour,Aruna Raje,Aruna Raje,"Usha Jadhav, Rajeshwari Sachdev, Sachin Khedekar, Girish Kulkarni",,5.2,,,,,,2019-02-22,2019-02-22,241.0,0.0,36,1,False,2019
Paddleton,,"Buddy Comedies,Comedies,Independent Movies,Dramas",English,Movie,3.8,,1-2 hour,Alex Lehmann,"Mark Duplass, Alex Lehmann","Christine Woods, Mark Duplass, Jen Sung, Ray Romano",TV-MA,7.2,88.0,70.0,,3.0,,2019-02-22,2019-02-22,11272.0,0.0,36,1,False,2019
Paris Is Us,,"Romantic Dramas,Dramas,Independent Movies,Romantic Independent Movies,Romantic Movies,French Movies",French,Movie,6.6,,1-2 hour,Elisabeth Vogler,"Paul Saïsset, Elisabeth Vogler, Souliman Schelfout, Rémi Bassaler","Marie Mottet, Lou Castel, Grégoire Isvarine, Noémie Schmidt",,4.6,43.0,,,2.0,,2019-02-22,2019-02-22,1263.0,0.0,36,1,False,2019
The Photographer Of Mauthausen,,"Biographical Movies,Military Dramas,Movies based on real life,Dramas,Spanish Movies,Political Dramas","Spanish, German",Movie,4.6,,1-2 hour,Mar Targarona,"Alfred Pérez Fargas, Roger Danès","Mario Casas, Richard van Weyden, Adrià Salazar, Alain Hernández",TV-MA,6.7,88.0,,4.0,11.0,,2018-10-26,2019-02-22,8455.0,119.0,36,2,False,2019
Bert Kreischer: The Machine,,"Politically Incorrect Stand-up Comedy,Comedies,Goofy Comedies,Stand-Up Comedy",English,Movie,8.2,,1-2 hour,Ryan Polito,Bert Kreischer,Bert Kreischer,TV-MA,7.7,,,,,,2016-11-11,2019-02-22,1202.0,833.0,12,1,False,2019
Anavitória: Araguaína - Las Vegas,,"Music & Concert Documentaries,Brazilian Movies,Brazilian Music & Musicals,Brazilian Music and Concert Movies,Rock & Pop Concerts,Music and Concert Movies,Documentaries,Brazilian Documentaries,Music & Musicals,Documentaries",Portuguese,Movie,8.6,,30-60 mins,Leandro Aguiari,,"Vitória Falcão, Ana Caetano",,7.2,,,,,,2019-02-22,2019-02-22,40.0,0.0,2,1,True,2019
Go! Live Your Way,,"Latin American TV Shows,Argentinian TV Shows,Kids TV,Kids Music,Music & Musicals,Latin Music,Teen TV Shows",Spanish,Series,8.3,,< 30 minutes,,Sebastián Mellino,"Marley Estrada, Rebecca Davis, Alyssa LeBarron, Marina Gridley",,7.0,,,1.0,1.0,,2019-02-22,2019-02-22,419.0,0.0,34,1,False,2019
Shonar Pahar,,"Dramas,Independent Movies,Bengali-Language Movies,Indian Movies,International Dramas",Bengali,Movie,8.8,,> 2 hrs,Parambrata Chattopadhyay,"Pavel, Parambrata Chattopadhyay","Tanuja, Jisshu Sengupta, Arunima Ghosh, Parambrata Chattopadhyay",,8.1,,,,,,2018-06-01,2019-02-22,557.0,266.0,18,1,False,2019
Losers,,"Docuseries,Documentaries,US TV Shows,Sports Documentaries",English,Series,,,< 30 minutes,Lissette Feliciano,Lissette Feliciano,"Chrissie Fit, Lorenza Izzo, Simu Liu, Bryan Craig",,,,,,,,,2019-02-21,,,36,1,False,2019
The Drug King,,"Crime Dramas,Dramas,Crime Thrillers,Gangster Movies,20th Century Period Pieces,Korean Movies,Thrillers,International Dramas,Films Based on Real Life","Korean, Japanese",Movie,7.4,,> 2 hrs,Min-ho Woo,Min-ho Woo,"Bae Doona, Jo Jung-Suk, Si-Won Cha, Kang-ho Song",Not Rated,6.2,80.0,,,3.0,,2018-12-19,2019-02-21,2320.0,64.0,36,2,False,2019
Revenge,,"Crime TV Shows,TV Dramas,TV Thrillers,Thai TV Shows","French, English",Series,3.6,,< 30 minutes,Coralie Fargeat,Coralie Fargeat,"Matilda Anna Ingrid Lutz, Vincent Colombe, Kevin Janssens, Guillaume Bouchède",R,6.4,,81.0,3.0,10.0,,2018-05-11,2019-02-21,36518.0,286.0,19,2,False,2019
ThirTEEN Terrors,,"TV Thrillers,Thai TV Shows,TV Horror,TV Mysteries,Teen TV Shows",Thai,Series,8.3,,< 30 minutes,,,"Thiti Mahayotaruk, Chawin Likitcharoenpong, Sirachuch Chienthaworn, Narikun Ketprapakorn",,6.9,,,,,,2014-11-01,2019-02-21,210.0,1573.0,19,1,False,2019
"Cinema, Aspirins and Vultures",,"Brazilian Dramas,Dramas,Brazilian Movies","Portuguese, German",Movie,7.4,,1-2 hour,Marcelo Gomes,"Karim Aïnouz, Marcelo Gomes, João Miguel, Paulo Caldas","João Miguel, Jeane Alves, Madalena Accioly, Peter Ketnath",,7.4,,,37.0,21.0,,2006-04-19,2019-02-21,2607.0,4691.0,1,2,False,2019
Sadako vs. Kayako,,"Horror Movies,Japanese Movies",Japanese,Movie,6.0,,1-2 hour,Kôji Shiraishi,"Kôji Shiraishi, Takashi Shimizu, Kôji Suzuki","Aimi Satsukawa, Tina Tamashiro, Mizuki Yamamoto, Misato Tanaka",Not Rated,5.1,48.0,,,,,2016-06-18,2019-02-21,2896.0,978.0,1,1,False,2019
Patong Girl,,"LGBTQ Movies,German Movies,Dramas,Romantic Movies,Romantic Dramas","Thai, English, German",Movie,8.1,,1-2 hour,Susanna Salonen,Susanna Salonen,"Uwe Preuss, Victoria Trauttmansdorff, Max Mauff, Aisawanya Areyawattana",,6.4,,,4.0,1.0,,2014-12-25,2019-02-21,168.0,1519.0,2,3,False,2019
Transformer,,"LGBTQ Documentaries,Documentaries,Biographical Documentaries,LGBTQ Movies,Canadian Movies,Biographical Movies,Documentary Films",English,Movie,8.4,,1-2 hour,Michael Del Monte,"Michael Del Monte, Samuel Fussell, Paul Kemp",Janae Marie Kroczaleski,,7.4,,78.0,1.0,1.0,,2018-09-12,2019-02-20,834.0,161.0,1,1,False,2019
El ángel,,"Crime Dramas,Biographical Movies,Gangster Movies,Argentinian Movies,Movies based on real life,Dramas,Crime Movies",Spanish,Movie,3.7,,1-2 hour,Luis Ortega,"Sergio Olguín, Luis Ortega, Rodolfo Palacios","Lorenzo Ferro, Malena Villa, Cecilia Roth, Luis Gnecco",Not Rated,7.0,,61.0,20.0,32.0,,2018-11-09,2019-02-20,9134.0,103.0,1,1,False,2019
Superfly,,"Action & Adventure,Crime Action & Adventure,US Movies,Dramas,Crime Movies,Crime Dramas,Gangster Movies,Gangster Action & Adventure","English, Spanish, Cantonese",Movie,4.5,,1-2 hour,Director X.,Alex Tse,"Trevor Jackson, Michael Kenneth Williams, Jason Mitchell, Lex Scott Davis",R,5.2,,52.0,,,,2018-06-13,2019-02-20,6265.0,252.0,4,3,False,2019
Zero,,"Indian Movies,Musicals,Romantic Movies,Bollywood Movies,Comedies,Music & Musicals,Romantic Comedies,Hindi-Language Movies,Dramas,Romantic Dramas,International Comedies,International Dramas",Hindi,Movie,2.0,,> 2 hrs,Aanand L. Rai,Himanshu Sharma,"Mohd. Zeeshan Ayyub, Shah Rukh Khan, Anushka Sharma, Katrina Kaif",Not Rated,5.4,27.0,,4.0,10.0,,2018-12-21,2019-02-20,23732.0,61.0,30,1,False,2019
Kevin James: Sweat the Small Stuff,,"Stand-Up Comedy,Comedies",English,Movie,8.5,,30-60 mins,Paul Miller,Kevin James,Kevin James,TV-PG,7.5,84.0,,,,,2001-07-23,2019-02-20,1005.0,6421.0,12,1,False,2019
Falsa identidad,,"US TV Shows,TV Dramas,Crime TV Shows,Crime TV Dramas,TV Thrillers",Spanish,Series,8.6,,< 30 minutes,,,"Samadhi Zendejas, Eduardo Yáñez, Luis Ernesto Franco, Barbie Casillas",TV-14,7.4,,,,1.0,,,2019-02-20,177.0,,35,1,False,2019
Hampstead,,"Romantic Dramas,Romantic British Movies,Dramas,Romantic Comedies,British Movies,British Comedies,Romantic Movies,British Dramas,Comedies,Social Issue Dramas",English,Movie,5.1,,1-2 hour,Joel Hopkins,Robert Festinger,"Lesley Manville, James Norton, Diane Keaton, Brendan Gleeson",PG-13,6.0,43.0,53.0,,,,2019-06-14,2019-02-19,4993.0,-115.0,2,1,False,2019
Life of the Party,,"Comedies,Goofy Comedies,US Movies,Buddy Comedies",English,Movie,2.3,,1-2 hour,Ben Falcone,"Melissa McCarthy, Ben Falcone","Matt Walsh, Molly Gordon, Melissa McCarthy, Ben Falcone",PG-13,5.6,38.0,46.0,3.0,4.0,,2018-05-11,2019-02-18,33970.0,283.0,2,1,False,2019
Studio 54,,"Documentaries,Social & Cultural Docs,Documentary Films",English,Movie,7.6,,1-2 hour,Matt Tyrnauer,,"Ian Schrager, Neil Schlesinger, Donald Rubell, Steve Rubell",TV-MA,7.0,90.0,70.0,2.0,5.0,,2018-10-05,2019-02-16,2369.0,134.0,2,1,False,2019
Genius,,"Social Issue Dramas,Tamil-Language Movies,Dramas,Indian Films,International Dramas",Hindi,Movie,6.6,,1-2 hour,Anil Sharma,"Anil Sharma, Amjad Ali, Sunil Sirvaiya","Ayesha Jhulka, Utkarsh Sharma, Mithun Chakraborty, Ishita Chauhan",,4.6,,,,,,2018-08-24,2019-02-16,1368.0,176.0,18,1,False,2019
Rivers Edge,,"Japanese Movies,Youth Drama,Teen Movies,Dramas,Japanese Youth Dramas",Japanese,Movie,7.7,,1-2 hour,Isao Yukisada,"Kyôko Okazaki, Misaki Setoyama","Fumi Nikaidô, Shûhei Uesugi, Ryô Yoshizawa, Aoi Morikawa",,6.2,,,2.0,2.0,,2018-02-16,2019-02-16,744.0,365.0,35,1,False,2019
Beethoven Virus,,"TV Dramas,Korean TV Shows,Music & Musicals",Korean,Series,8.6,,< 30 minutes,,,"Ji-Ah Lee, Yeong-hee Hwang, Myung-Min Kim, Keun-Suk Jang",TV-Y,7.6,,,2.0,7.0,,2008-09-10,2019-02-15,302.0,3810.0,1,1,False,2019
Three Girls,,"Crime TV Shows,TV Dramas,British TV Shows,Crime TV Dramas",English,Series,7.4,,< 30 minutes,,,"Paul Kaye, Molly Windsor, Liv Hill, Ria Zmitrowicz",TV-14,8.2,,,32.0,9.0,,2017-05-16,2019-02-15,3398.0,640.0,1,1,False,2019
Hereditary,,"Supernatural Horror Movies,Horror Movies,Teen Screams,Independent Films","English, Spanish",Movie,4.2,,> 2 hrs,Ari Aster,Ari Aster,"Toni Collette, Gabriel Byrne, Milly Shapiro, Alex Wolff",R,7.3,89.0,87.0,44.0,105.0,,2018-06-08,2019-02-15,241835.0,252.0,5,2,False,2019
The Breaker Upperers,,"Raunchy Comedies,Independent Movies,Buddy Comedies,Comedies,Late Night Comedies",English,Movie,6.0,,1-2 hour,"Madeleine Sami, Jackie van Beek","Madeleine Sami, Jackie van Beek","Madeleine Sami, Jackie van Beek, Celia Pacquola, James Rolleston",,5.9,87.0,76.0,,1.0,,2019-02-15,2019-02-15,5368.0,0.0,35,1,False,2019
Larry Charles Dangerous World of Comedy,,"Documentaries,US TV Shows,Docuseries,TV Comedies",,Series,8.4,,< 30 minutes,,,Larry Charles,,7.3,,,,,,2019-02-15,2019-02-15,518.0,0.0,36,0,False,2019
Yucatán,,"Heist Movies,Comedies,Spanish Movies,Crime Comedies,Crime Movies,International Comedies","Spanish, Polish",Movie,6.9,,> 2 hrs,Daniel Monzón,"Daniel Monzón, Jorge Guerricaechevarría","Joan Pera, Luis Tosar, Stephanie Cayo, Rodrigo De la Serna",TV-MA,5.5,,,,2.0,,2018-08-31,2019-02-15,1725.0,168.0,35,2,False,2019
The Umbrella Academy,,"TV Sci-Fi & Fantasy,US TV Shows,TV Action & Adventure,TV Shows based on Comics",English,Series,4.0,,< 30 minutes,,"Jeremy Slater, Steve Blackman","Emmy Raver-Lampman, Tom Hopper, Elliot Page, David Castañeda",TV-14,8.0,,,7.0,28.0,,2019-02-15,2019-02-15,159677.0,0.0,36,1,False,2019
A boyfriend for my wife,,"Brazilian Comedies,Brazilian Movies,Comedies,Romantic Comedies,Romantic Films",Portuguese,Movie,8.1,,1-2 hour,Julia Rezende,"Pablo Solarz, Ingrid Guimarães, Lusa Silvestre, Julia Rezende","Domingos Montagner, Paulo Vilhena, Ingrid Guimarães, Caco Ciocler",,6.4,,,,2.0,,2016-09-01,2019-02-15,252.0,897.0,1,1,False,2019
Natsumes Book of Friends,,"TV Shows based on Manga,Drama Anime,Anime Series,Sci-Fi & Fantasy Anime,Japanese TV Shows",Japanese,Series,8.2,,< 30 minutes,,,"Miki Itô, Hiroshi Kamiya, Kazuhiko Inoue",,8.1,,,,,,2008-07-07,2019-02-15,1634.0,3875.0,2,1,False,2019
Sea of Love,,"Mysteries,Crime Movies,Crime Thrillers,Thrillers",English,Movie,3.5,,1-2 hour,Harold Becker,Richard Price,"Ellen Barkin, Michael Rooker, Al Pacino, John Goodman",R,6.8,76.0,66.0,,4.0,,1989-09-15,2019-02-15,38085.0,10745.0,1,1,False,2019
Pathfinder,,"Action & Adventure,Adventures,Action Movies","English, Icelandic",Movie,1.6,,1-2 hour,Marcus Nispel,"Nils Gaup, Laeta Kalogridis","Clancy Brown, Russell Means, Moon Bloodgood, Karl Urban",R,5.4,10.0,29.0,,1.0,,2007-04-13,2019-02-15,42616.0,4326.0,6,2,False,2019
The Kirlian Frequency,,"Latin American TV Shows,Argentinian TV Shows,TV Sci-Fi & Fantasy,TV Horror,Fantasy TV Shows,Adult Animation",Spanish,Series,8.4,,< 30 minutes,,Cristian Ponce,Nicolás Van de Moortele,TV-14,7.6,,,,,,2017-04-30,2019-02-15,891.0,656.0,24,1,False,2019
Magnolia,,"Dramas,Independent Movies","English, German, French",Movie,4.0,,> 2 hrs,Paul Thomas Anderson,Paul Thomas Anderson,"Neil Flynn, Pat Healy, Mark Flanagan, Genevieve Zweig",R,8.0,83.0,77.0,28.0,59.0,,2000-01-07,2019-02-15,290583.0,6979.0,4,3,False,2019
Sur: The Melody of Life,,"Indian Movies,Bollywood Movies,Hindi-Language Movies,Dramas,International Dramas",Hindi,Movie,8.0,,> 2 hrs,Tanuja Chandra,"Vibha Singh, Tanuja Chandra","Achint Kaur, Simone Singh, Lucky Ali, Ehsan Khan",Not Rated,6.5,,,,3.0,,2002-09-13,2019-02-15,463.0,5999.0,18,1,False,2019
Neevevaro,,"Crime Dramas,Crime Movies,Indian Movies,Crime Thrillers,Thrillers,Mysteries,Romantic Movies,Telugu-Language Movies,Dramas,Romantic Dramas,International Thrillers,International Dramas",Telugu,Movie,8.1,,> 2 hrs,"Hari Nath, Hari","Rohin Venkatesan, Bhavani Prasad, Kona Venkat","Ritika Singh, Vennela Kishore, Aadhi, Taapsee Pannu",,6.8,,,,,,2018-08-23,2019-02-15,651.0,176.0,17,1,False,2019
At Eternitys Gate,,"Biographical Movies,Movies based on real life,Period Pieces,Dramas,Historical Dramas","English, French",Movie,3.6,,1-2 hour,Julian Schnabel,"Jean-Claude Carrière, Louise Kugelberg, Julian Schnabel","Willem Dafoe, Rupert Friend, Oscar Isaac, Mads Mikkelsen",PG-13,6.9,,76.0,3.0,16.0,,2019-02-15,2019-02-15,28563.0,0.0,2,2,False,2019
Ugly Aur Pagli,,"Indian Movies,Romantic Comedies,Comedies,Hindi-Language Movies,Romantic Movies,Bollywood Movies,Quirky Romance,International Comedies",Hindi,Movie,6.5,,1-2 hour,Sachin Kamlakar Khot,"Anil Pandey, Amitabh Verma, Suparn Verma","Bharti Achrekar, Zeenat Aman, Ranvir Shorey, Mallika Sherawat",,3.7,,,,,,2008-08-01,2019-02-15,700.0,3850.0,18,1,False,2019
Pyaar Ke Side Effects,,"Comedies,Romantic Comedies,Indian Movies,Hindi-Language Movies,Romantic Movies,Bollywood Movies,Quirky Romance,International Comedies","Hindi, Bengali, English",Movie,7.0,,> 2 hrs,Saket Chaudhary,"Vijay Krishna Acharya, Saket Chaudhary, Pratibha Acharya","Rahul Bose, Ranvir Shorey, Mallika Sherawat, Sharat Saxena",,6.7,72.0,,,1.0,,2006-09-15,2019-02-15,2993.0,4536.0,18,3,False,2019
Behind the Curve,,"Social & Cultural Docs,Documentaries,Documentaries",English,Movie,4.6,,1-2 hour,Daniel J. Clark,,"Patti Sargent, Hannalore Gerling-Dunsmore, Joe Pierre, Mark K. Sargent",TV-14,6.5,89.0,,1.0,1.0,,2018-11-15,2019-02-15,8543.0,92.0,36,1,False,2019
Ayana,,"Kannada Movies & TV,Indian Movies,Dramas,International Dramas",Kannada,Movie,8.8,,1-2 hour,Gangadhar Salimath,Gangadhar Salimath,"Apoorva Soma, Deepak Subramanya, Ramesh Bhat, Sriharsha Hoskere",,7.7,,,,,,2017-09-08,2019-02-15,109.0,525.0,18,1,False,2019
Awe,,"Social Issue Dramas,Psychological Thrillers,Sci-Fi & Fantasy,Thrillers,Fantasy Movies,Telugu-Language Movies,Dramas,Indian Movies,International Thrillers,International Sci-Fi & Fantasy,International Dramas",Telugu,Movie,7.5,,1-2 hour,Prasanth Varma,"Shivgopal Krishna, Prasanth Varma","Nithya Menen, Regina Cassandra, Kajal Aggarwal, Srinivas Avasarala",,7.8,100.0,,1.0,,,2018-02-02,2019-02-15,3852.0,378.0,18,1,False,2019
